"Nombre del producto","URL del producto","Imagen del producto","Precio de lista (MXN)","Precio de oferta (MXN)","Descuento","Valoración"
"Bleu Intense Perfume para Hombre 100 ml","https://lbel.tiendabelcorp.com.mx/bleu-intense-perfume-para-hombre-100-ml/p","https://lbelmexico.vtexassets.com/arquivos/ids/1157843-500-auto?v=639175215691770000&width=500&height=auto&aspect=true","780.00","663.00","-15%","4"
"Perfume de mujer Miss L'BEL","https://lbel.tiendabelcorp.com.mx/perfume-miss-lbel/p","https://lbelmexico.vtexassets.com/arquivos/ids/1138879-500-auto?v=639168582406670000&width=500&height=auto&aspect=true","830.00","705.00","-15%","4"
"Perfume floral para mujer de larga duración Mithyka 50 ml. Edición Limitada","https://lbel.tiendabelcorp.com.mx/mithyka-perfume-de-mujer-larga-duracion-50-ml/p","https://lbelmexico.vtexassets.com/arquivos/ids/1156422-500-auto?v=639175193558070000&width=500&height=auto&aspect=true","760.00","646.00","-15%","4"
"Bleu Night Perfume para Hombre 100 ml.","https://lbel.tiendabelcorp.com.mx/bleu-night-perfume-para-hombre-100-ml/p","https://belcorpmexico.vtexassets.com/arquivos/ids/1157847-500-auto?v=639175215758830000&width=500&height=auto&aspect=true","780.00","663.00","-15%","4"
"Perfume para hombre Bleu Acqua","https://lbel.tiendabelcorp.com.mx/perfume-bleu-acqua-100/p","https://lbelmexico.vtexassets.com/arquivos/ids/1155938-500-auto?v=639171289145830000&width=500&height=auto&aspect=true","780.00","663.00","-15%","4"
"Live Adventure Perfume para Hombre","https://lbel.tiendabelcorp.com.mx/live-adventure-perfume-para-hombre/p","https://lbelmexico.vtexassets.com/arquivos/ids/1157379-500-auto?v=639175208251630000&width=500&height=auto&aspect=true","780.00","663.00","-15%","4"
"Bleu Glacial Perfume para Hombre Larga Duración","https://lbel.tiendabelcorp.com.mx/bleu-glacial-perfume-para-hombre-larga-duracion-100-ml/p","https://lbelmexico.vtexassets.com/arquivos/ids/1157470-500-auto?v=639175209684100000&width=500&height=auto&aspect=true","780.00","663.00","-15%","4"
"Perfume para Hombre Live Polo 100 ml","https://lbel.tiendabelcorp.com.mx/live-polo-perfume-para-hombre-100-ml/p","https://lbelmexico.vtexassets.com/arquivos/ids/1157384-500-auto?v=639175208312570000&width=500&height=auto&aspect=true","780.00","663.00","-15%","4"
"Mon L'bel","https://lbel.tiendabelcorp.com.mx/mon-lbel-perfume-de-mujer-upg/p","https://lbelmexico.vtexassets.com/arquivos/ids/1161470-500-auto?v=639175273365870000&width=500&height=auto&aspect=true","900.00","765.00","-15%","4"
"Perfume de Mujer Bleu Femme 50 ml.","https://lbel.tiendabelcorp.com.mx/perfume-de-mujer-bleu-femme/p","https://lbelmexico.vtexassets.com/arquivos/ids/1138867-500-auto?v=639168582199500000&width=500&height=auto&aspect=true","830.00","705.00","-15%","5"
"Satin Rouge","https://lbel.tiendabelcorp.com.mx/satin-rouge-perfume-de-mujer-50-ml/p","https://lbelmexico.vtexassets.com/arquivos/ids/1158030-500-auto?v=639175218403870000&width=500&height=auto&aspect=true","720.00","612.00","-15%","4"
"Rêve Sensuelle Perfume de Mujer","https://lbel.tiendabelcorp.com.mx/reve-sensuelle-perfume-de-mujer/p","https://lbelmexico.vtexassets.com/arquivos/ids/1124360-500-auto?v=639168312642130000&width=500&height=auto&aspect=true","860.00","731.00","-15%","4"
"Perfume para mujer de larga Duración Mithyka Elixir, 50 ml","https://lbel.tiendabelcorp.com.mx/mithyka-elixir-perfume-de-mujer-larga-duracion-50-ml/p","https://lbelmexico.vtexassets.com/arquivos/ids/1156833-500-auto?v=639175200185830000&width=500&height=auto&aspect=true","830.00","705.00","-15%","4"
"Perfume Satin Nude","https://lbel.tiendabelcorp.com.mx/satin-nude-50-ml/p","https://lbelmexico.vtexassets.com/arquivos/ids/1158336-500-auto?v=639175223018770000&width=500&height=auto&aspect=true","860.00","731.00","-15%","5"
"i.d. Perfume Unisex 100 ml","https://lbel.tiendabelcorp.com.mx/id-perfume-para-hombre-100-ml/p","https://lbelmexico.vtexassets.com/arquivos/ids/1156407-500-auto?v=639175193328070000&width=500&height=auto&aspect=true","720.00","612.00","-15%","4"
"Minifragancia Mon L'Bel 10 ml","https://lbel.tiendabelcorp.com.mx/minifragancia-mon-lbel-10-ml/p","https://lbelmexico.vtexassets.com/arquivos/ids/1130358-500-auto?v=639168424700830000&width=500&height=auto&aspect=true","520.00","442.00","-15%","4"
"Brises de Vie Aqua Fragancia Fresca 100 ml","https://lbel.tiendabelcorp.com.mx/brises-de-vie-aqua-fragancia-fresca-100-ml/p","https://lbelmexico.vtexassets.com/arquivos/ids/1157318-500-auto?v=639175207334300000&width=500&height=auto&aspect=true","660.00","561.00","-15%","4"
"Minifragancia Bleu Intense Night Perfume para Hombre 10ml","https://lbel.tiendabelcorp.com.mx/minifragancia-bleu-intense-night-perfume-para-hombre-10ml/p","https://lbelmexico.vtexassets.com/arquivos/ids/1133421-500-auto?v=639168477667500000&width=500&height=auto&aspect=true","240.00","204.00","-15%","5"
"Émouv 100ml","https://lbel.tiendabelcorp.com.mx/emouv-100ml/p","https://lbelmexico.vtexassets.com/arquivos/ids/1129379-500-auto?v=639168405383200000&width=500&height=auto&aspect=true","660.00","561.00","-15%","4"
"Brises de Vie Aqua 50 ml","https://lbel.tiendabelcorp.com.mx/brises-de-vie-aqua-50-ml/p","https://lbelmexico.vtexassets.com/arquivos/ids/1129027-500-auto?v=639168399718400000&width=500&height=auto&aspect=true","600.00","510.00","-15%","4"
"Minifragancia Mithyka Perfume de Mujer Larga Duración 10 ml","https://lbel.tiendabelcorp.com.mx/minifragancia-mithyka-perfume-de-mujer-larga-duracion-10-ml/p","https://lbelmexico.vtexassets.com/arquivos/ids/1124367-500-auto?v=639168312722930000&width=500&height=auto&aspect=true","520.00","442.00","-15%","4"
"i.d. Perfume Unisex 50 ml","https://lbel.tiendabelcorp.com.mx/id-perfume-para-hombre-50-ml/p","https://lbelmexico.vtexassets.com/arquivos/ids/1124379-500-auto?v=639168312890800000&width=500&height=auto&aspect=true","630.00","535.00","-15%","4"
"Perfume de Mujer Fleur 50 ml.","https://lbel.tiendabelcorp.com.mx/fleur-perfume-de-mujer/p","https://lbelmexico.vtexassets.com/arquivos/ids/1136734-500-auto?v=639168541743000000&width=500&height=auto&aspect=true","830.00","705.00","-15%,""
Bleu Glacial Perfume para Hombre Larga Duración,https://lbel.tiendabelcorp.com.mx/bleu-glacial-perfume-para-hombre-larga-duracion-100-ml/p,[""https://lbelmexico.vtexassets.com/arquivos/ids/1157470-500-auto?v=639175209684100000&width=500&height=auto&aspect=true""],780.00,663.00,-15%,4
Perfume para Hombre Live Polo 100 ml,https://lbel.tiendabelcorp.com.mx/live-polo-perfume-para-hombre-100-ml/p,[""https://lbelmexico.vtexassets.com/arquivos/ids/1157384-500-auto?v=639175208312570000&width=500&height=auto&aspect=true""],780.00,663.00,-15%,4
Perfume de hombre L'Attraction,https://lbel.tiendabelcorp.com.mx/perfume-l-attraction/p,[""https://lbelmexico.vtexassets.com/arquivos/ids/1159955-500-auto?v=639175248892100000&width=500&height=auto&aspect=true""],780.00,663.00,-15%","""
Perfume para mujer de muy alta concentración Bleu Femme Oasis 50 ml e 1.6 fl.oz,https://lbel.tiendabelcorp.com.mx/bleu-femme-oasis/p,[""https://lbelmexico.vtexassets.com/arquivos/ids/1163460-500-auto?v=639175309163030000&width=500&height=auto&aspect=true""],830.00,705.00,-15%"
"Minifragancia Bleu Intense","https://lbel.tiendabelcorp.com.mx/minifragancia-bleu-intense/p","https://lbelmexico.vtexassets.com/arquivos/ids/1133416-500-auto?v=639168477587070000&width=500&height=auto&aspect=true","520","442","-15%",""
"Émouv 50ml","https://lbel.tiendabelcorp.com.mx/emouv-50ml/p","https://lbelmexico.vtexassets.com/arquivos/ids/1129028-500-auto?v=639168399755000000&width=500&height=auto&aspect=true","600","510","-15%","4"
"Minifragancia Live Polo","https://lbel.tiendabelcorp.com.mx/minifragancia-live-polo/p","https://lbelmexico.vtexassets.com/arquivos/ids/1131668-500-auto?v=639168445583100000&width=500&height=auto&aspect=true","520","442","-15%","5"
"Minifragancia Live Frontier 10 ml","https://lbel.tiendabelcorp.com.mx/minifragancia-live-frontier-/p","https://lbelmexico.vtexassets.com/arquivos/ids/1145242-500-auto?v=639168695027970000&width=500&height=auto&aspect=true","520","442","-15%",""
"Minifragancia Mithyka Elixir 10ml.","https://lbel.tiendabelcorp.com.mx/minifragancia-mithyka-elixir-10ml/p","https://lbelmexico.vtexassets.com/arquivos/ids/1126997-500-auto?v=639168364395130000&width=500&height=auto&aspect=true","520","442","-15%",""
"Satin Nude 10ml","https://lbel.tiendabelcorp.com.mx/satin-nude-10-ml/p","https://lbelmexico.vtexassets.com/arquivos/ids/1118098-500-auto?v=639144440730770000&width=500&height=auto&aspect=true","520","442","-15%",""
"Minifragancia Bleu Glacial Perfume para Hombre Larga Duración 10 ml","https://lbel.tiendabelcorp.com.mx/minifragancia-bleu-glacial-perfume-para-hombre-larga-duracion-10-ml/p","https://lbelmexico.vtexassets.com/arquivos/ids/1132915-500-auto?v=639168467093270000&width=500&height=auto&aspect=true","520","442","-15%",""
